pdd_id,pdd_data,pdd_status,pdd_cli_id,pdi_id,pdi_prd_qtd,pdi_pdd_id,pdi_prd_id
28,2023-10-24,"Em processamento",5,41,2,28,6
27,2023-10-28,"Em processamento",20,40,3,27,13
26,2023-10-10,"Em processamento",10,39,2,26,9
25,2023-09-25,Enviado,9,36,2,25,10
25,2023-09-25,Enviado,9,37,3,25,9
25,2023-09-25,Enviado,9,38,2,25,3
24,2023-09-03,Entregue,19,35,2,24,1
23,2023-08-20,Cancelado,18,34,3,23,16
22,2023-08-08,Cancelado,8,30,3,22,9
22,2023-08-08,Cancelado,8,31,3,22,6
22,2023-08-08,Cancelado,8,32,1,22,16
22,2023-08-08,Cancelado,8,33,3,22,5
21,2023-07-30,Cancelado,7,29,2,21,10
20,2023-07-05,Entregue,17,28,1,20,12
19,2023-06-29,Reembolsado,16,27,2,19,9
18,2023-06-12,Entregue,6,24,1,18,3
18,2023-06-12,Entregue,6,25,1,18,3
18,2023-06-12,Entregue,6,26,2,18,6
17,2023-05-20,Entregue,5,22,3,17,3
17,2023-05-20,Entregue,5,23,3,17,18
16,2023-05-16,Cancelado,5,20,3,16,18
16,2023-05-16,Cancelado,5,21,3,16,6
15,2023-05-06,Entregue,15,19,1,15,19
14,2023-04-28,Entregue,4,18,2,14,9
13,2023-04-22,Entregue,14,16,2,13,10
13,2023-04-22,Entregue,14,17,2,13,14
12,2023-04-05,Entregue,4,15,1,12,13
11,2023-03-18,Reembolsado,13,13,2,11,10
11,2023-03-18,Reembolsado,13,14,2,11,9
10,2023-03-12,Cancelado,3,11,1,10,1
10,2023-03-12,Cancelado,3,12,2,10,1
9,2023-03-10,Entregue,3,10,1,9,16
8,2023-02-10,Entregue,2,9,3,8,19
7,2023-02-02,Entregue,12,7,2,7,2
7,2023-02-02,Entregue,12,8,2,7,14
6,2023-02-15,Cancelado,2,5,1,6,14
6,2023-02-15,Cancelado,2,6,1,6,18
5,2023-01-22,Entregue,1,3,3,5,11
5,2023-01-22,Entregue,1,4,3,5,19
4,2023-01-15,Entregue,11,2,1,4,4
3,2023-01-01,Entregue,1,1,3,3,18
