prd_id,prd_nome,prd_descricao,prd_preco,prd_qtd_estoque
1,"Pizza Margherita","Pizza clássica com molho de tomate, muçarela, manjericão fresco e azeite de oliva",14.99,50
2,"Hambúrguer de Frango","Hambúrguer de frango grelhado com alface, tomate, queijo e maionese",9.99,60
3,"Lasanha à Bolonhesa","Lasanha camadas de massa intercaladas com molho de carne à bolonhesa, queijo e molho branco",16.99,40
4,"Salmão Grelhado","Filé de salmão grelhado com molho de limão e ervas, servido com arroz e brócolis",19.99,30
5,"Taco de Carne","Tortilla recheada com carne moída, alface, queijo, tomate e molho de pimenta",8.99,70
6,"Salada Caesar","Salada de alface romana, croutons, queijo parmesão, peito de frango grelhado e molho Caesar",12.99,45
7,"Massa de Pesto","Massa penne com molho pesto de manjericão, alho, pinhões e queijo parmesão",11.99,55
8,"Torta de Maçã","Torta caseira de maçã com canela e açúcar mascavo",7.99,25
9,"Sushi Variado","Seleção de sushis de salmão, atum e camarão, com molho de soja e gengibre",18.99,35
10,Tiramisu,"Sobremesa italiana com camadas de café, biscoitos, mascarpone e cacau em pó",9.99,20
11,"Burrito de Carne","Burrito de carne de porco com feijão, arroz, queijo e guacamole",10.99,65
12,"Frango à Parmegiana","Peito de frango empanado com molho de tomate e queijo derretido, servido com espaguete",13.99,55
13,"Ceviche de Camarão","Ceviche peruano de camarão com cebola roxa, coentro e limão",15.99,30
14,"Sopa de Tomate","Sopa de tomate caseira com manjericão e creme de leite",8.99,40
15,"Risoto de Cogumelos","Risoto cremoso com uma variedade de cogumelos e queijo parmesão",14.99,35
16,"Costelas de Porco ao Barbecue","Costelas de porco grelhadas com molho barbecue, batatas fritas e coleslaw",17.99,25
17,"Camarões Grelhados","Camarões grelhados com molho de alho e limão, acompanhados de arroz e legumes",19.99,20
18,"Pasta de Amendoim Orgânica","Pasta de amendoim orgânica e natural, sem adição de açúcar",9.99,50
19,"Bolo de Chocolate Triplo","Bolo de chocolate com três camadas e cobertura de ganache",11.99,15
20,"Sorvete de Baunilha","Sorvete de baunilha cremoso, perfeito para acompanhar sobremesas",6.99,60
21,"Panquecas de Blueberry","Panquecas fofas com blueberries frescas e xarope de bordo",10.99,45
22,"Tofu Grelhado","Tofu grelhado com legumes salteados e molho teriyaki",12.99,35
23,"Salmão Assado","Salmão fresco assado com temperos e acompanhado de legumes",22.99,0
24,"Tacos de Camarão","Tacos recheados com camarões grelhados, coentro e molho de abacate",15.99,0
